Frame: 107.0, Anomaly Score: 0.1539, People Count: 21
Frame: 108.0, Anomaly Score: 0.1548, People Count: 19
Frame: 109.0, Anomaly Score: 0.1548, People Count: 19
Frame: 110.0, Anomaly Score: 0.1548, People Count: 18
Frame: 111.0, Anomaly Score: 0.1537, People Count: 21
Frame: 112.0, Anomaly Score: 0.1541, People Count: 19
Frame: 113.0, Anomaly Score: 0.1540, People Count: 21
Frame: 114.0, Anomaly Score: 0.1539, People Count: 19
Frame: 115.0, Anomaly Score: 0.1530, People Count: 20
Frame: 116.0, Anomaly Score: 0.1532, People Count: 22
Frame: 117.0, Anomaly Score: 0.1533, People Count: 20
Frame: 118.0, Anomaly Score: 0.1524, People Count: 20
Frame: 119.0, Anomaly Score: 0.1527, People Count: 21
Frame: 120.0, Anomaly Score: 0.1521, People Count: 21
Frame: 121.0, Anomaly Score: 0.1522, People Count: 23
Frame: 122.0, Anomaly Score: 0.1514, People Count: 21
Frame: 123.0, Anomaly Score: 0.1520, People Count: 20
Frame: 124.0, Anomaly Score: 0.1519, People Count: 22
Frame: 125.0, Anomaly Score: 0.1519, People Count: 20
Frame: 126.0, Anomaly Score: 0.1510, People Count: 21
Frame: 127.0, Anomaly Score: 0.1509, People Count: 21
Frame: 128.0, Anomaly Score: 0.1513, People Count: 19
Frame: 129.0, Anomaly Score: 0.1508, People Count: 21
Frame: 130.0, Anomaly Score: 0.1514, People Count: 17
Frame: 131.0, Anomaly Score: 0.1514, People Count: 19
Frame: 132.0, Anomaly Score: 0.1522, People Count: 21
Frame: 133.0, Anomaly Score: 0.1518, People Count: 20
Frame: 134.0, Anomaly Score: 0.1526, People Count: 19
Frame: 135.0, Anomaly Score: 0.1528, People Count: 20
Frame: 136.0, Anomaly Score: 0.1532, People Count: 20
Frame: 137.0, Anomaly Score: 0.1524, People Count: 22
Frame: 138.0, Anomaly Score: 0.1526, People Count: 19
Frame: 139.0, Anomaly Score: 0.1524, People Count: 20
Frame: 140.0, Anomaly Score: 0.1526, People Count: 19
Frame: 141.0, Anomaly Score: 0.1523, People Count: 18
Frame: 142.0, Anomaly Score: 0.1533, People Count: 15
Frame: 143.0, Anomaly Score: 0.1532, People Count: 15
Frame: 144.0, Anomaly Score: 0.1537, People Count: 15
Frame: 145.0, Anomaly Score: 0.1534, People Count: 15
Frame: 146.0, Anomaly Score: 0.1541, People Count: 16
Frame: 147.0, Anomaly Score: 0.1537, People Count: 16
Frame: 148.0, Anomaly Score: 0.1535, People Count: 16
Frame: 149.0, Anomaly Score: 0.1511, People Count: 17
Frame: 150.0, Anomaly Score: 0.1511, People Count: 16
Frame: 151.0, Anomaly Score: 0.1509, People Count: 16
Frame: 152.0, Anomaly Score: 0.1510, People Count: 18
Frame: 153.0, Anomaly Score: 0.1506, People Count: 19
Frame: 154.0, Anomaly Score: 0.1513, People Count: 19
Frame: 155.0, Anomaly Score: 0.1507, People Count: 19
Frame: 156.0, Anomaly Score: 0.1505, People Count: 20
Frame: 157.0, Anomaly Score: 0.1498, People Count: 19
Frame: 158.0, Anomaly Score: 0.1501, People Count: 20
Frame: 159.0, Anomaly Score: 0.1498, People Count: 20
Frame: 160.0, Anomaly Score: 0.1498, People Count: 22
Frame: 161.0, Anomaly Score: 0.1491, People Count: 22
